Name	Release date	Weight [g]
Nexus One	2010-01-05	130
Nexus S (AMOLED)	2010-12-16	129
Nexus S (LCD)	2010-12-16	140
Galaxy Nexus	2011-11-17	135
Nexus 4	2012-11-13	139
Nexus 5	2013-10-31	130
Nexus 5X	2015-10-22	136
Pixel	2016-10-20	143
Pixel 2	2017-10-19	143
Pixel 3	2018-10-09	148
Pixel 4	2019-10-24	162
Pixel 5	2020-10-15	151
Pixel 6	2021-10-28	207
Pixel 7	2022-10-13	197
Pixel 8	2023-10-12	187
Pixel 9	2024-08-22	198
Pixel 10	2025-08-28	204
