Name	Generation	Release date	Weight [g]
iPhone X	11	2017-11-03	174.1
iPhone XS	12	2018-09-21	177
iPhone 11 Pro	13	2019-09-20	188
iPhone 12 Pro	14	2020-10-23	189
iPhone 13 Pro	15	2021-09-24	204
iPhone 14 Pro	16	2022-09-16	206
iPhone 15 Pro	17	2023-09-22	187
iPhone 16 Pro	18	2024-09-20	199
iPhone 17 Pro	19	2025-09-19	206
